,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
61,61,1940,319,158,0.0138,0.0054,819.32,1184.01,20.79,0.01,13.94,0.0799,202,0.1123,0.9018,211,0.1321,A
62,62,1940,319,158,0.0138,0.0054,791.04,1184.01,20.79,0.01,13.94,0.0799,202,0.1123,0.9018,211,0.1321,A
63,63,1724,334,120,0.0148,0.005,726.78,1143.95,20.94,0.008288081999999999,14.64,0.1345,149,0.0741,0.9,167,0.036000000000000004,A
64,64,1724,334,120,0.0148,0.005,791.04,1143.95,20.94,0.008288081999999999,14.64,0.1345,149,0.0741,0.9,167,0.036000000000000004,A
65,65,1389,356,150,0.0131,0.0049,778.46,1024.51,14.17,0.01,6.49,0.1018,200,0.0864,0.8993,185,0.0936,A
66,66,1389,356,150,0.0131,0.0049,791.04,1024.51,14.17,0.01,6.49,0.1018,200,0.0864,0.8993,185,0.0936,A
67,67,1833,393,178,0.0144,0.0047,850.7,1016.15,39.36,0.007165689,44.72,0.0973,96,0.0971,0.8974,110,0.1045,A
68,68,1833,393,178,0.0144,0.0047,791.04,1016.15,39.36,0.007165689,44.72,0.0973,96,0.0971,0.8974,110,0.1045,A
69,69,1698,329,161,0.0127,0.0046,779.95,1123.66,27.62,0.00795931,24.46,0.1014,165,0.0806,0.897,158,0.1035,A
70,70,1661,383,144,0.0134,0.0043,718.22,1187.9,32.23,0.01,32.57,0.1513,138,0.0659,0.8945,148,0.0304,A
71,71,1308,373,157,0.0132,0.0046,753.2,1102.35,20.13,0.01,12.1,0.1149,184,0.0784,0.8941,183,0.0586,A
72,72,1308,373,157,0.0132,0.0046,791.04,1102.35,20.13,0.01,12.1,0.1149,184,0.0784,0.8941,183,0.0586,A
73,73,1224,379,128,0.0149,0.0044,725.1,1036.47,22.49,0.01,14.15,0.1626,139,0.0646,0.8933,170,0.0438,A
74,74,1224,379,128,0.0149,0.0044,791.04,1036.47,22.49,0.01,14.15,0.1626,139,0.0646,0.8933,170,0.0438,A
75,75,1281,371,140,0.0147,0.0044,713.12,1149.29,45.65,0.007626064,64.02,0.1591,167,0.0703,0.8909,164,0.0353,A
76,76,1281,371,140,0.0147,0.0044,791.04,1149.29,45.65,0.007626064,64.02,0.1591,167,0.0703,0.8909,164,0.0353,A
77,77,1243,318,112,0.0132,0.0046,866.43,1162.8,32.65,0.01,35.43,0.1552,163,0.0595,0.8905,177,0.0329,A
78,78,1243,318,112,0.0132,0.0046,791.04,1162.8,32.65,0.01,35.43,0.1552,163,0.0595,0.8905,177,0.0329,A
79,79,1722,357,190,0.0144,0.0047,876.23,1060.46,39.22,0.01,50.49,0.1053,155,0.0982,0.8889,170,0.0677,A
80,80,1722,357,190,0.0144,0.0047,791.04,1060.46,39.22,0.01,50.49,0.1053,155,0.0982,0.8889,170,0.0677,A
81,81,1580,307,183,0.0135,0.0045,827.88,1105.79,31.79,0.00691209,28.14,0.1079,196,0.0877,0.8814,208,0.1086,A
